ID,X,Y,AVG_TMP_2005,ANN_PREC_2005
IPMA/1,545135.3056,4246625.037,17.0,
IPMA/10,495651.1798,4281637.884,17.4,329.4
IPMA/11,599482.6969,4208270.246,17.2,334.9
IPMA/12,548624.2529,4603680.173,14.4,811.3
IPMA/13,688312.1741,4630054.291,12.7,436.9
IPMA/14,465751.4561,4357104.244,15.6,
IPMA/15,459120.1931,4284954.621,15.7,
IPMA/16,581798.0549,4618785.947,14.6,889.0
IPMA/17,629779.165,4410359.529,16.2,486.6
IPMA/18,637525.147,4120033.615,17.7,
IPMA/19,591236.0883,4160088.45,16.8,316.7
IPMA/2,502865.2825,4374114.718,14.7,
IPMA/20,627550.5518,4619454.716,13.7,
IPMA/21,545425.5147,4444542.292,15.9,560.1
IPMA/22,540438.0047,4311331.58,16.1,377.1
IPMA/23,628991.3659,4456608.612,14.7,
IPMA/24,660463.4572,4305456.598,17.1,339.4
IPMA/25,628688.2397,4303026.051,15.6,
IPMA/26,597327.4613,4265583.043,16.6,363.7
IPMA/27,591923.2489,4097220.341,17.8,367.9
IPMA/28,512775.897,4444416.751,15.0,
IPMA/29,678691.9179,4513160.382,13.2,
IPMA/3,581133.0797,4139641.389,16.6,
IPMA/30,646802.8226,4488398.101,11.6,509.3
IPMA/31,514278.3663,4400023.543,15.1,504.8
IPMA/32,486968.6814,4290894.532,17.3,451.3
IPMA/33,565315.308,4442837.763,15.9,
IPMA/34,627740.5354,4179067.288,17.1,
IPMA/35,726692.8389,4599678.257,12.7,
IPMA/36,650197.5079,4597678.651,14.6,289.1
IPMA/37,689672.923,4578239.828,13.4,
IPMA/38,551017.6275,4657362.141,15.4,736.8
IPMA/39,601051.0035,4630136.674,10.7,773.6
IPMA/4,552714.3804,4200437.183,16.0,351.5
IPMA/40,597420.8494,4485739.947,14.7,
IPMA/41,623018.1123,4475014.155,9.9,1056.1
IPMA/42,533247.8241,4623947.326,15.0,920.5
IPMA/43,636558.6138,4349413.996,16.4,485.2
IPMA/44,599075.7525,4241558.371,16.3,
IPMA/45,538497.4088,4107902.56,16.4,315.4
IPMA/46,526355.2181,4614666.494,15.3,609.9
IPMA/47,597117.4302,4398774.527,16.0,
IPMA/48,505744.2355,4355619.748,15.4,429.5
IPMA/49,664777.427,4568375.045,12.5,
IPMA/5,581719.7922,4368995.814,15.9,409.8
IPMA/50,504448.8035,4094873.539,16.8,
IPMA/51,523026.0034,4339005.047,17.0,401.0
IPMA/52,508717.7786,4263147.526,16.5,407.2
IPMA/53,546857.1828,4200401.557,16.3,355.7
IPMA/54,554375.4712,4383554.234,15.8,
IPMA/55,484132.2909,4320491.617,15.9,
IPMA/56,637817.4518,4515988.784,12.5,
IPMA/57,516641.0989,4616487.763,15.5,924.2
IPMA/58,606099.2393,4569133.88,13.6,598.5
IPMA/59,595040.6767,4450553.478,13.9,721.5
IPMA/6,656116.0952,4231358.37,17.6,345.4
IPMA/60,669631.6673,4414841.065,16.6,
IPMA/7,550274.1687,4353930.217,15.4,
IPMA/9,598000.3536,4328485.109,17.5,
SNIRH/01F/01UG,536387.0266,4654822.807,,702.8
SNIRH/01H/05G,562261.9264,4656237.287,,896.8
SNIRH/02E/03UG,523794.1716,4632717.211,,1433.1
SNIRH/02E/04UG,513919.7326,4635004.015,,848.4
SNIRH/02F/04G,535986.6811,4647665.271,,1159.5
SNIRH/02G/03G,544076.098,4645767.938,,1143.0
SNIRH/02G/04UG,552357.1123,4646595.393,,1060.0
SNIRH/02G/05UG,548244.6406,4642093.947,,735.2
SNIRH/02G/12UG,553776.1387,4635502.458,,904.8
SNIRH/02H/03UG,564666.5743,4647159.732,,1527.1
SNIRH/02H/05G,563093.961,4642827.367,,1206.9
SNIRH/02H/07UG,558923.098,4631996.283,,745.5
SNIRH/02J/01G,587172.44,4632594.571,,1047.0
SNIRH/02O/01UG,653416.3951,4638446.486,,395.2
SNIRH/02O/02UG,666597.4102,4632620.572,,356.9
SNIRH/02P/01C,667683.344,4645916.172,,561.4
SNIRH/03E/02UG,522055.3777,4620837.869,,921.7
SNIRH/03F/01G,533589.5543,4624121.218,,915.5
SNIRH/03F/03UG,527843.9435,4617311.463,,991.7
SNIRH/03F/05UG,537867.2205,4614242.648,,887.8
SNIRH/03G/02C,548224.6489,4628060.468,,1010.7
SNIRH/03G/03UG,548519.3425,4618655.655,,837.7
SNIRH/03G/05UG,543471.8194,4620319.44,,1397.8
SNIRH/03H/05UG,559466.6751,4622131.065,,988.1
SNIRH/03I/04G,582235.4058,4620660.471,,1059.3
SNIRH/03I/07G,573381.0072,4616708.593,,995.3
SNIRH/03I/08UG,578795.9394,4617440.761,,950.1
SNIRH/03I/09UG,575715.2005,4614573.839,,1043.2
SNIRH/03J/01UG,593730.2047,4629499.118,,762.0
SNIRH/03J/02UG,587712.5613,4626948.038,,862.5
SNIRH/03J/03UG,587743.7249,4623656.307,,903.7
SNIRH/03J/04UG,594442.4015,4623587.519,,783.6
SNIRH/03J/05G,591846.2102,4618926.754,,734.1
SNIRH/03J/06UG,595442.2458,4617894.214,,671.5
SNIRH/03K/02UG,604908.6755,4626509.904,,467.2
SNIRH/03K/04UG,606083.544,4627179.424,,310.2
SNIRH/03K/05UG,609747.3924,4621558.713,,501.6
SNIRH/03K/06UG,607251.7787,4624231.11,,571.7
SNIRH/03L/01UG,618873.7696,4631622.576,,518.0
SNIRH/03N/01G,640706.5825,4632062.552,,498.7
SNIRH/03N/02UG,640837.3139,4620936.35,,393.3
SNIRH/03P/01UG,672846.7593,4620116.652,,299.8
SNIRH/03Q/03UG,686909.9846,4626180.073,,286.1
SNIRH/04E/02UG,518650.9424,4597698.203,,486.7
SNIRH/04G/02UG,552592.1049,4598945.894,,797.0
SNIRH/04G/05UG,543134.8117,4595675.532,,636.8
SNIRH/04G/06C,545569.6414,4599206.364,,746.4
SNIRH/04I/02UG,572088.861,4609600.515,,388.8
SNIRH/04I/04UG,575859.3158,4607512.183,,802.7
