"","model","nugget","range","psill","estimType","R2","RMSE"
"1","Exp",0,10000,3.06594973699591,"OLS",0.56790061520832,1.16035694701731
"2",,,,,,,
"3","Sph",0,10000,3.06594973699591,"OLS",0.299760411555461,1.80821893105129
"4","Sph",0,10000,3.06594973699591,"REML",0.0190387718709023,1.76820287717878
"5","Gau",0,10000,3.06594973699591,"OLS",0.149951270889892,1.63440787819595
"6","Gau",0,10000,3.06594973699591,"REML",0.00558231650588323,1.73222321758061
"7","Mat",0,10000,3.06594973699591,"OLS",0.582034380516631,1.13588090839012
"8",,,,,,,
"9","Exp",0,30000,3.06594973699591,"OLS",0.565169006886991,1.15432892497657
"10",,,,,,,
"11","Sph",0,30000,3.06594973699591,"OLS",0.102883696357535,1.66032790372546
"12","Sph",0,30000,3.06594973699591,"REML",0.0389294047366898,1.70270303283417
"13","Gau",0,30000,3.06594973699591,"OLS",0.328223578737467,1.45228830432299
"14","Gau",0,30000,3.06594973699591,"REML",0.438482446329364,1.30368710436665
"15","Mat",0,30000,3.06594973699591,"OLS",0.596146507872848,1.12371712080192
"16",,,,,,,
"17","Exp",0,50000,3.06594973699591,"OLS",0.513255756691806,1.21466611269947
"18","Exp",0,50000,3.06594973699591,"REML",0.587175354510702,1.11722058816327
"19","Sph",0,50000,3.06594973699591,"OLS",0.106129042849017,1.66983353553094
"20",,,,,,,
"21","Gau",0,50000,3.06594973699591,"OLS",0.307480627150138,1.47485523090051
"22","Gau",0,50000,3.06594973699591,"REML",0.407419365363161,1.39780646995646
"23","Mat",0,50000,3.06594973699591,"OLS",0.557826617752136,1.16347771027062
"24","Mat",0,50000,3.06594973699591,"REML",0.57808346268578,1.12957665782288
"25","Exp",0,80000,3.06594973699591,"OLS",0.554053353215015,1.16500058705259
"26","Exp",0,80000,3.06594973699591,"REML",0.623211786502211,1.06912060035596
"27","Sph",0,80000,3.06594973699591,"OLS",0.463219248121645,1.2730162382361
"28","Sph",0,80000,3.06594973699591,"REML",0.449643414919673,1.29029658679589
"29","Gau",0,80000,3.06594973699591,"OLS",0.113605445703938,1.6522954155601
"30","Gau",0,80000,3.06594973699591,"REML",0.658397850107563,1.01763405782653
"31","Mat",0,80000,3.06594973699591,"OLS",0.620769123037284,1.09022734117112
"32","Mat",0,80000,3.06594973699591,"REML",0.677710859128257,1.00396225035114
"33","Exp",0.1,10000,3.06594973699591,"OLS",0.556916955508966,1.16495310537955
"34",,,,,,,
"35","Sph",0.1,10000,3.06594973699591,"OLS",0.111129315261362,1.76659633914114
"36","Sph",0.1,10000,3.06594973699591,"REML",0.0287176118255804,1.77405895149873
"37","Gau",0.1,10000,3.06594973699591,"OLS",0.122276938134388,1.6496619601474
"38","Gau",0.1,10000,3.06594973699591,"REML",0.00114597257802356,1.75544669127703
"39","Mat",0.1,10000,3.06594973699591,"OLS",0.54693513818299,1.17573058199775
"40",,,,,,,
"41","Exp",0.1,30000,3.06594973699591,"OLS",0.544804536201138,1.17912183757415
"42","Exp",0.1,30000,3.06594973699591,"REML",0.518434989691397,1.20567037946158
"43","Sph",0.1,30000,3.06594973699591,"OLS",0.0334704960614454,1.70782005465978
"44","Sph",0.1,30000,3.06594973699591,"REML",0.0771381142302917,1.67593557809023
"45","Gau",0.1,30000,3.06594973699591,"OLS",0.330116734784941,1.44977568693246
"46","Gau",0.1,30000,3.06594973699591,"REML",0.293589820349081,1.46503789192454
"47","Mat",0.1,30000,3.06594973699591,"OLS",0.581997407802741,1.13229065879131
"48","Mat",0.1,30000,3.06594973699591,"REML",0.536732201034801,1.1858066439251
"49","Exp",0.1,50000,3.06594973699591,"OLS",0.499649662885833,1.23164389604128
"50","Exp",0.1,50000,3.06594973699591,"REML",0.582633459719645,1.12562991179196
"51","Sph",0.1,50000,3.06594973699591,"OLS",0.134789504553921,1.64613559845121
"52",,,,,,,
"53","Gau",0.1,50000,3.06594973699591,"OLS",0.274400638050637,1.50634868700537
"54","Gau",0.1,50000,3.06594973699591,"REML",0.535401825541048,1.23995057788766
"55","Mat",0.1,50000,3.06594973699591,"OLS",0.600548976159221,1.11678732529766
"56","Mat",0.1,50000,3.06594973699591,"REML",0.591130589711162,1.11118623356969
"57","Exp",0.1,80000,3.06594973699591,"OLS",0.553661056577323,1.16593661847812
"58","Exp",0.1,80000,3.06594973699591,"REML",0.635798423940192,1.05083809209349
"59","Sph",0.1,80000,3.06594973699591,"OLS",0.474345831538094,1.26149599168476
"60","Sph",0.1,80000,3.06594973699591,"REML",0.40859606840561,1.3357669117914
